G102132E,iPhone 15 Plus 512GB Green,N,Y,Device
G102133A,iPhone 15 Pro 128GB Black Titanium,N,Y,Device
G102133B,iPhone 15 Pro 128GB White Titanium,N,Y,Device
G102133C,iPhone 15 Pro 128GB Natural Titanium,N,Y,Device
G102133D,iPhone 15 Pro 128GB Blue Titanium,N,Y,Device
G102134A,iPhone 15 Pro 256GB Black Titanium,N,Y,Device
G102134B,iPhone 15 Pro 256GB White Titanium,N,Y,Device
G102134C,iPhone 15 Pro 256GB Natural Titanium,N,Y,Device
G102134D,iPhone 15 Pro 256GB Blue Titanium,N,Y,Device
G102135A,iPhone 15 Pro 512GB Black Titanium,N,Y,Device
G102135B,iPhone 15 Pro 512GB White Titanium,N,Y,Device
G102135C,iPhone 15 Pro 512GB Natural Titanium,N,Y,Device
G102135D,iPhone 15 Pro 512GB Blue Titanium,N,Y,Device
G102136A,iPhone 15 Pro 1TB Black Titanium,N,Y,Device
G102136B,iPhone 15 Pro 1TB White Titanium,N,Y,Device
G102136C,iPhone 15 Pro 1TB Natural Titanium,N,Y,Device
G102136D,iPhone 15 Pro 1TB Blue Titanium,N,Y,Device
G102137A,iPhone 15 Pro Max 256GB Black Titanium,N,Y,Device
G102137B,iPhone 15 Pro Max 256GB White Titanium,N,Y,Device
G102137C,iPhone 15 Pro Max 256GB Natural Titanium,N,Y,Device
G102137D,iPhone 15 Pro Max 256GB Blue Titanium,N,Y,Device
G102138A,iPhone 15 Pro Max 512GB Black Titanium,N,Y,Device
G102138B,iPhone 15 Pro Max 512GB White Titanium,N,Y,Device
G102138C,iPhone 15 Pro Max 512GB Natural Titanium,N,Y,Device
G102138D,iPhone 15 Pro Max 512GB Blue Titanium,N,Y,Device
G102139A,iPhone 15 Pro Max 1TB Black Titanium,N,Y,Device
G102139B,iPhone 15 Pro Max 1TB White Titanium,N,Y,Device
G102139C,iPhone 15 Pro Max 1TB Natural Titanium,N,Y,Device
G102139D,iPhone 15 Pro Max 1TB Blue Titanium,N,Y,Device
G102187,Apple USB-C Charge Cable (2m),N,Y,Device
G102188,Apple iPhone 15 Clear Case MagSafe,N,Y,Device
G102189,Apple iPhone 15 Plus Clear Case MagSafe,N,Y,Device
G102190,Apple iPhone 15 Pro Clear Case MagSafe,N,Y,Device
G102191,Apple iPhone 15 Pro Max Clear Case MagSafe,N,Y,Device
G102192,Apple 35W Dual USB-C Port Power Adapter,N,Y,Device
G102204A,AirPods Pro (2nd generation) (USB C),N,Y,Device
G102205A,Apple Watch Series 9 Starlight 41mm S/M,N,Y,Device
G102205B,Apple Watch Series 9 Starlight 41mm M/L,N,Y,Device
G102206A,Apple Watch Series 9 GPS 41mm S/M,N,Y,Device
G102206B,Apple Watch Series 9 Midnight 41mm M/L,N,Y,Device
G102207A,Apple Watch Series 9 Starlight 45mm S/M,N,Y,Device
G102207B,Apple Watch Series 9 Starlight 45mm M/L,N,Y,Device
G102208A,Apple Watch Series 9 Midnight 45mm S/M,N,Y,Device
G102208B,Apple Watch Series 9 Midnight 45mm M/L,N,Y,Device
G102209A,Apple Watch SE Starlight 40mm S/M (2023),N,Y,Device
G102209B,Apple Watch SE Starlight 40mm M/L (2023),N,Y,Device
G102210A,Apple Watch SE Midnight 40mm S/M (2023),N,Y,Device
